gr_id,title,author,publication,language,gender,birth,death,nationality
3876,The Sun Also Rises,Ernest Hemingway,1926,English,M,1899,1961,USA
394535,Blood Meridian,Cormac McCarthy,1985,English,M,1933,2023,USA
3446,Going After Cacciato,Tim O'Brien,1978,English,M,1946,,USA
22590,Ubik,Philip K. Dick,1969,English,M,1928,1982,USA
226378,A Hero of Our Time,Mikhail Lermontov,1840,Russian,M,1814,1841,Russian Empire
18765,"I, Claudius",Robert Graves,1934,English,M,1895,1985,England
8682,Jitterbug Perfume,Tom Robbins,1984,English,M,1932,,USA
83017,The Tartar Steppe,Dino Buzzati,1940,Italian,M,1906,1972,Italy
17797381,Innocence,Dean Koontz,2013,English,M,1945,,USA
29999,The Maltese Falcon,Dashiell Hammett,1930,English,M,1894,1961,USA
9712,Love in the Time of Cholera,Gabriel García Márquez,1985,Spanish,M,1927,2014,Colombia
10054335,Rules of Civility,Amor Towles,2011,English,M,1964,,USA
248596,Something Wicked This Way Comes,Ray Bradbury,1962,English,M,1920,2012,USA
438452,The Long Ships,Frans G. Bengtsson,1941,Swedish,M,1894,1954,Sweden
7101,The 42nd Parallel,John Dos Passos,1930,English,M,1896,1970,USA
43035,White Fang,Jack London,1906,English,M,1876,1916,USA
34928122,Artemis,Andy Weir,2017,English,M,1972,,USA
37380,The Heart is a Lonely Hunter,Carson McCullers,1940,English,F,1917,1967,USA
183199,Warlock,Oakley Hall,1958,English,M,1920,2008,USA
6867,Atonement,Ian McEwan,2001,English,M,1948,,England
30672,Darkness at Noon,Arthur Koestler,1940,German,M,1905,1983,Austria-Hungary
59149,Beware of Pity,Stefan Zweig,1939,German,M,1881,1942,Austria-Hungary
36739942,Lake Success,Gary Shteyngart,2018,English,M,1972,,USA
386187,Midnight in the Garden of Good and Evil,John Berendt,1994,English,M,1939,,USA
38501,Ham on Rye,Charles Bukowski,1982,English,M,1920,1994,Germany
16690,The Moon is a Harsh Mistress,Robert A. Heinlein,1966,English,M,1907,1988,USA
400,Libra,Don DeLillo,1988,English,M,1936,,USA
164154,A Canticle for Leibowitz,Walter M. Miller Jr.,1959,English,M,1923,1996,USA
40792913,Altered Carbon,Richard K. Morgan,2018,English,M,1965,,England
7805,Pale Fire,Vladimir Nabokov,1962,English,M,1899,1977,Russian Empire
156192,The Universal Baseball Association,Robert Coover,1968,English,M,1932,,USA
36236125,Invisible Monsters,Chuck Palahniuk,1999,English,M,1962,,USA
20342617,Just Mercy,Bryan Stevenson,2015,English,M,1959,,USA
957186,Cleopatra,H. Rider Haggard,1889,English,M,1856,1925,England
17690,The Trial,Franz Kafka,1925,German,M,1883,1924,Austria-Hungary
2443,The Innocents Abroad,Mark Twain,1869,English,M,1835,1910,USA
23168277,The Sympathizer,Viet Thanh Nguyen,2015,English,M,1971,,USA
42270835,The Nickel Boys,Colson Whitehead,2019,English,M,1969,,USA
790171,Kon-Tiki,Thor Heyerdahl,1948,Norwegian,M,1914,2002,Norway
